# faithfulness table for CloseAssetBacking
# generated by `cargo test --release --lib -- --test-threads=1 faithfulness`; do not hand-edit
op	source	kind	verdict	detail
notActivity [0..10)	close_asset_backing_circuit.rs:505	arith	not-static	holds: inactiveWire row = 1 - activityWire row — builder.not is a sub, an ArithmeticGate relation
multiplyInactiveRegistry [0..10)	close_asset_backing_circuit.rs:506	arith	not-static	holds: dirtyRegistryWire row = inactiveWire row * registryWire row — builder.mul output is an ArithmeticGate relation
connectInactiveRegistryZero [0..10)	close_asset_backing_circuit.rs:509	connect	ok	holds: dirtyRegistryWire row = zeroWire — each of the ten inactive*registry products is connected to the zero constant
multiplyInactiveAmount [0..10)x[0..8)	close_asset_backing_circuit.rs:510-511	arith	not-static	holds: dirtyAmountWire row limb = inactiveWire row * (amountWire row).words[limb] — the eighty builder.mul outputs are ArithmeticGate relations
connectInactiveAmountZero [0..10)x[0..8)	close_asset_backing_circuit.rs:514	connect	ok	holds: dirtyAmountWire row limb = zeroWire — all eighty inactive*limb products are connected to the zero constant
equalRegistry [45 pairs]	close_asset_backing_circuit.rs:521	arith	not-static	holds: registryEqualWire i j = (if registryWire i = registryWire j then 1 else 0) — builder.is_equal is an inverse-witness gadget, not a copy constraint
andEqualWithLaterActive [45 pairs]	close_asset_backing_circuit.rs:522	arith	not-static	holds: duplicateActiveWire i j = registryEqualWire i j * activityWire j — builder.and is a mul, an ArithmeticGate relation
connectDuplicateZero [45 pairs]	close_asset_backing_circuit.rs:525	connect	ok	holds: duplicateActiveWire i j = zeroWire — all 45 ordered-pair duplicate flags are connected to the zero constant
constantZeroLeaf	close_asset_backing_circuit.rs:532	constant	ok	holds: zeroLeafWire = Words8.zero — U256Target::constant(builder, U256::default()) is eight wires pinned to the zero constant
constantEmptyRoot	close_asset_backing_circuit.rs:533-534	constant	ok	holds: rootWire 0 = merkle.emptyRoot — the reconstruction starts at four wires pinned to the canonical empty AssetTree root (which also discharges CanonicalEmptyRoot)
conditionalVerifyZeroPath [0..10)	close_asset_backing_circuit.rs:538-544	gadget	not-static	holds: activityWire row = 1 → merkle.pathRoot (pathWire row) zeroLeaf (registryWire row) = rootWire row — a 32-level Poseidon Merkle opening under a select, not a copy constraint
computeInsertedRoot [0..10)	close_asset_backing_circuit.rs:545-549	gadget	not-static	holds: insertedRootWire row = merkle.pathRoot (pathWire row) (amountWire row) (registryWire row) — a 32-level Poseidon Merkle recomputation
selectUpdatedRoot [0..10)	close_asset_backing_circuit.rs:550-555	arith	not-static	holds: rootWire (row+1) = if activityWire row = 1 then insertedRootWire row else rootWire row — PoseidonHashOutTarget::select is four ArithmeticGate selects
connectFinalAssetRoot	close_asset_backing_circuit.rs:557	connect	ok	holds: rootWire 10 = privateStateWire.assetTreeRoot — the final selected root is connected to the opened private state's asset tree root
constantTokenFundsDomain	close_asset_backing_circuit.rs:559	constant	ok	holds: tokenFundsDomainWire = 0x494d5446 — the first preimage wire is pinned to the 'IMTF' domain constant the Lean model names
flattenAmountLimbs	close_asset_backing_circuit.rs:560-563	aliasing	ok	holds: amountLimbsWire = amountWords (assignedRows a) — the 80 hashed limbs are the ten checked U256 slots flattened in row-major order, on the SAME wires
concatenateDigestPreimage	close_asset_backing_circuit.rs:564-570	preimage	ok	holds: digestPreimageWire = [tokenFundsDomainWire] ++ registryWords ++ [tokenCountWire] ++ amountLimbsWire — the 92-word IMTF preimage, wire for wire, on the same targets the rest of the circuit constrains
computeKeccakTokenFunds	close_asset_backing_circuit.rs:571-572	gadget	not-static	holds: tokenFundsDigestWire = hash.tokenFundsHash digestPreimageWire — the keccak relation is the HashFunctions dependency
computeExtendedPoseidonBytes	close_asset_backing_circuit.rs:573	gadget	not-static	holds: extendedCommitmentWire = hash.extendedCommitment extendedStateWire.words — extended_public_state.commitment is a Poseidon/keccak gadget call
assembleComputedPublicInputs	close_asset_backing_circuit.rs:574-580	aliasing	ok	holds: publicWire = {channelId := balance.channelId, settledTxChain := balance.settledTxChain, tokenFundsDigest, extendedStateCommitment, anchorBlockNumber := extendedState.inner.blockNumber} — every field is the SAME wire as its source (the two digests are the literal gadget outputs); no re-witnessing
registerPublicInputs 26	close_asset_backing_circuit.rs:598	public-inputs	ok	holds: publicWire.words.length = 26 — checked strictly stronger: the 26 registered wires are exactly the 5 fields of CloseAssetBackingPublicInputsTarget, in to_vec order
buildCircuit	close_asset_backing_circuit.rs:600	no-gate	trivial	holds = True — builder.build emits no constraint
